"genes" "Transcript.length..including.UTRs.and.CDS."
"11568" "Zfp383" 1479
"11569" "ENSMOCG00000013454" 492
"11570" "Prkaa2" 2867
"11571" "Tnfsf15" 786
"11572" "ENSMOCG00000013457" 1674
"11573" "Gltpd2" 993
"11574" "Klf12" 1182
"11575" "ENSMOCG00000013460" 540
"11576" "Brap" 3610
"11577" "D630039A03Rik" 707
"11578" "Adgrg6" 3585
"11579" "Adtrp" 971
"11580" "Fuom" 405
"11581" "ENSMOCG00000013466" 939
"11582" "Tagln3" 1205
"11583" "Ube2c" 816
"11584" "Tnni1" 723
"11585" "ENSMOCG00000013470" 954
"11586" "ENSMOCG00000013471" 1139
"11587" "ENSMOCG00000013472" 1378
"11588" "Cenph" 666
"11589" "Borcs7" 778
"11590" "ENSMOCG00000013475" 4611
"11591" "Stk32a" 3944
"11592" "ENSMOCG00000013477" 539
"11593" "Ypel2" 5004
"11594" "Gmfg" 526
"11595" "Prkar2b" 1805
"11596" "Mrpl14" 771
"11597" "Phka1" 3717
"11598" "Kif22" 2001
"11599" "Phb2" 900
"11600" "Lrit1" 2702
"11601" "Cd164" 2874
"11602" "Hp1bp3" 3387
"11603" "Serpini2" 1409
"11604" "Ell" 1827
"11605" "Fhl3" 1669
"11606" "Tmem64" 2980
"11607" "Nsg2" 2387
"11608" "Ctdspl2" 6289
"11609" "ENSMOCG00000013494" 1910
"11610" "Stmnd1" 1256
"11611" "Car4" 1342
"11612" "Lcmt2" 1323
"11613" "Ppp4r3a" 4482
"11614" "Sh2b3" 4318
"11615" "C1qtnf4" 1463
"11616" "Atp1b4" 1122
"11617" "Ccn1" 1651
"11618" "Cyp11a1" 1824
"11619" "Siglec1" 5100
"11620" "Nupr1" 755
"11621" "ENSMOCG00000013506" 666
"11622" "ENSMOCG00000013507" 2067
"11623" "St14" 3207
"11624" "Pptc7" 4656
"11625" "Tdp1" 1695
"11626" "Ndnf" 2526
"11627" "Terf2ip" 1128
"11628" "1700066B19Rik" 381
"11629" "Sult1c2" 1250
"11630" "ENSMOCG00000013515" 534
"11631" "ENSMOCG00000013516" 384
"11632" "Hipk2" 3775
"11633" "Syndig1l" 2623
"11634" "Doc2b" 5694
"11635" "Reln" 10383
"11636" "Uhrf1" 2385
"11637" "ENSMOCG00000013522" 1017
"11638" "Nim1k" 2080
"11639" "Ly6g6g" 264
"11640" "ENSMOCG00000013525" 833
"11641" "Rgs19" 1607
"11642" "ENSMOCG00000013527" 567
"11643" "Gcnt1" 2074
"11644" "Ccdc105" 1733
"11645" "Pacsin2" 3276
"11646" "Reep5" 2112
"11647" "Suv39h1" 1236
"11648" "Cbfb" 2963
"11649" "Prl3a1" 681
"11650" "ENSMOCG00000013535" 999
"11651" "ENSMOCG00000013536" 1939
"11652" "Nxnl2" 627
"11653" "Luc7l3" 3447
"11654" "Med24" 3335
"11655" "Nrip3" 3981
"11656" "ENSMOCG00000013541" 700
"11657" "Atp6v1h" 1941
"11658" "Arid3a" 2242
"11659" "ENSMOCG00000013544" 2277
"11660" "Phrf1" 5034
"11661" "Foxo3" 2775
"11662" "ENSMOCG00000013547" 1321
"11663" "Fbxo16" 972
"11664" "Rrad" 1509
"11665" "Rbm34" 1742
"11666" "Eif1ax" 3050
"11667" "Tspear" 2452
"11668" "ENSMOCG00000013553" 1811
"11669" "Golga3" 5082
"11670" "ENSMOCG00000013555" 321
"11671" "Yipf3" 1542
"11672" "Pcbp4" 1989
"11673" "ENSMOCG00000013558" 945
"11674" "ENSMOCG00000013559" 1746
"11675" "Smim15" 2081
"11676" "Erp29" 1168
"11677" "ENSMOCG00000013562" 1452
"11678" "Ogt" 5434
"11679" "Snx15" 756
"11680" "Rev3l" 10651
"11681" "Rap1gap" 2209
"11682" "Esrp1" 1980
"11683" "Cngb3" 2091
"11684" "Sh3rf3" 2643
"11685" "Cdk10" 1688
"11686" "ENSMOCG00000013571" 1148
"11687" "Tpo" 3275
"11688" "Ythdf1" 3146
"11689" "D16Ertd472e" 2113
"11690" "Nfxl1" 3412
"11691" "Padi1" 1989
"11692" "ENSMOCG00000013577" 2094
"11693" "Tjp3" 2811
"11694" "Ap5z1" 2424
"11695" "Jak2" 4257
"11696" "Fzd5" 3049
"11697" "F2rl1" 1220
"11698" "ENSMOCG00000013583" 279
"11699" "Herc6" 3012
"11700" "Cdiptos" 366
"11701" "ENSMOCG00000013586" 828
"11702" "ENSMOCG00000013587" 696
"11703" "Wnt2b" 4092
"11704" "Hmx1" 426
"11705" "Homer3" 1269
"11706" "Garem1" 7169
"11707" "Ep300" 7230
"11708" "Ccnd1" 1501
"11709" "Gmnn" 955
"11710" "Sesn3" 2093
"11711" "Rhno1" 1220
"11712" "Cse1l" 3570
"11713" "Grin2c" 4476
"11714" "ENSMOCG00000013599" 300
"11715" "Btk" 1962
"11716" "Npm3" 923
"11717" "Ovch2" 1770
"11718" "ENSMOCG00000013603" 696
"11719" "Tyro3" 3751
"11720" "Cfap69" 2905
"11721" "ENSMOCG00000013606" 1069
"11722" "Gm12695" 1649
"11723" "ENSMOCG00000013608" 666
"11724" "Oit3" 2448
"11725" "Lipt1" 1434
"11726" "Ercc2" 3558
"11727" "Wdcp" 2755
"11728" "Ube2g1" 2553
"11729" "Ppm1h" 1542
"11730" "Gart" 3223
"11731" "ENSMOCG00000013616" 288
"11732" "Gsk3a" 2237
"11733" "Slc37a1" 2775
"11734" "St6galnac5" 996
"11735" "Pygo2" 3132
"11736" "Vps26a" 2582
"11737" "Asb9" 873
"11738" "Zranb1" 4700
"11739" "Klhdc9" 1432
"11740" "Elac1" 2543
"11741" "ENSMOCG00000013626" 802
"11742" "Etnppl" 2032
"11743" "Cdon" 7636
"11744" "Atp13a5" 5456
"11745" "ENSMOCG00000013630" 1062
"11746" "Irak1bp1" 1093
"11747" "Prss29" 840
"11748" "ENSMOCG00000013633" 462
"11749" "Usp6nl" 4010
"11750" "Cplx2" 4586
"11751" "Prcd" 296
"11752" "Misp" 1926
"11753" "Nav2" 7104
"11754" "Gabrg3" 1404
"11755" "Pter" 1728
"11756" "Fundc2" 1713
"11757" "Zfp608" 6095
"11758" "Oasl1" 1965
"11759" "Casc3" 3553
"11760" "ENSMOCG00000013645" 654
"11761" "ENSMOCG00000013646" 1311
"11762" "Nr6a1" 1467
"11763" "Nsmf" 1599
"11764" "Paxip1" 3486
"11765" "Ambp" 1223
"11766" "Slc26a8" 3274
"11767" "Polr2c" 825
"11768" "Vav3" 5296
"11769" "Myt1l" 6285
"11770" "Fgfr3" 4232
"11771" "Srsf10" 777
"11772" "Grhpr" 1182
"11773" "ENSMOCG00000013658" 1563
"11774" "Serpinf1" 1524
"11775" "Gstm6" 1186
"11776" "ENSMOCG00000013661" 366
"11777" "Rell1" 905
"11778" "Pum2" 6126
"11779" "ENSMOCG00000013664" 1857
"11780" "Pdcd10" 1905
"11781" "ENSMOCG00000013666" 411
"11782" "Bpifc" 1591
"11783" "Ankrd27" 3138
"11784" "Itga2b" 3263
"11785" "Gorab" 2486
"11786" "Ewsr1" 2312
"11787" "Nf1" 9986
"11788" "ENSMOCG00000013673" 1272
"11789" "Hacl1" 1757
"11790" "ENSMOCG00000013675" 945
"11791" "Noct" 1299
"11792" "Gyg" 1724
"11793" "Ndufa12" 576
"11794" "ENSMOCG00000013679" 421
"11795" "ENSMOCG00000013680" 945
"11796" "ENSMOCG00000013681" 240
"11797" "Hk3" 3234
"11798" "Lmo1" 1341
"11799" "Plac8" 692
"11800" "Mrpl51" 830
"11801" "Faiml" 840
"11802" "ENSMOCG00000013687" 355
"11803" "2200002D01Rik" 312
"11804" "Actrt1" 1215
"11805" "Masp1" 2396
"11806" "6030468B19Rik" 756
"11807" "Zfp663" 1977
"11808" "ENSMOCG00000013693" 942
"11809" "Pop7" 847
"11810" "Tnfrsf17" 552
"11811" "Dynap" 480
"11812" "Steap1" 1041
"11813" "6430548M08Rik" 3438
"11814" "Kat14" 5095
"11815" "Chd8" 8108
"11816" "Hif1an" 1328
"11817" "Igfals" 2159
"11818" "Usp1" 3328
"11819" "ENSMOCG00000013704" 630
"11820" "Arl5b" 760
"11821" "Fbxo44" 1832
"11822" "Auh" 1424
"11823" "ENSMOCG00000013708" 426
"11824" "Mcc" 3012
"11825" "Pcdh19" 6759
"11826" "ENSMOCG00000013711" 533
"11827" "ENSMOCG00000013712" 789
"11828" "Tex10" 3067
"11829" "Galntl5" 1308
"11830" "Tmem41b" 2311
"11831" "Cped1" 5586
"11832" "Jph4" 4463
"11833" "Zfp24" 5857
"11834" "Bckdk" 1984
"11835" "Gm5767" 237
"11836" "Apex1" 1394
"11837" "Prelid1" 1191
"11838" "Gne" 2824
"11839" "Kdm2a" 5868
"11840" "Mfng" 1884
"11841" "ENSMOCG00000013726" 345
"11842" "Gkn2" 558
"11843" "Syngr2" 1492
"11844" "AI182371" 1017
"11845" "Pot1a" 1809
"11846" "Cog7" 2776
"11847" "Slc39a3" 1426
"11848" "ENSMOCG00000013733" 435
"11849" "Shbg" 1047
"11850" "Trim8" 3329
"11851" "Amdhd1" 2446
"11852" "Ints3" 4497
"11853" "Zfpm2" 3294
"11854" "Abhd8" 1945
"11855" "Calcb" 929
"11856" "ENSMOCG00000013741" 918
"11857" "ENSMOCG00000013742" 1893
"11858" "1700028K03Rik" 586
"11859" "E130218I03Rik" 192
"11860" "Tmem131l" 4782
"11861" "Zfyve21" 1278
"11862" "ENSMOCG00000013747" 909
"11863" "ENSMOCG00000013748" 1323
"11864" "Barhl1" 3473
"11865" "Reep1" 3723
"11866" "Aacs" 3184
"11867" "Commd2" 1522
"11868" "Dcbld1" 1845
"11869" "Tmem263" 3724
"11870" "ENSMOCG00000013755" 1188
"11871" "Gm17018" 839
"11872" "Slc16a7" 2297
"11873" "ENSMOCG00000013758" 723
"11874" "ENSMOCG00000013759" 369
"11875" "Ypel1" 1092
"11876" "Wdr76" 3006
"11877" "Abi2" 5584
"11878" "ENSMOCG00000013763" 756
"11879" "Tlx3" 1523
"11880" "Spcs2" 1455
"11881" "Cd3eap" 1128
"11882" "Kifc2" 3249
"11883" "ENSMOCG00000013768" 1065
"11884" "ENSMOCG00000013769" 969
"11885" "Gk" 3703
"11886" "Atad1" 2886
"11887" "Supv3l1" 2736
"11888" "ENSMOCG00000013773" 1107
"11889" "Gosr2" 3002
"11890" "Rragd" 3129
"11891" "Nrgn" 1305
"11892" "Stac2" 2670
"11893" "Dtd2" 779
"11894" "Rap2a" 3822
"11895" "Yy2" 3337
"11896" "ENSMOCG00000013781" 2078
"11897" "Myh6" 5235
"11898" "Lrrc27" 1524
"11899" "Gsta4" 669
"11900" "Chst1" 2834
"11901" "ENSMOCG00000013786" 282
"11902" "Slc47a1" 1836
"11903" "Rfx6" 3419
"11904" "Uqcrb" 535
"11905" "Trim46" 3187
"11906" "ENSMOCG00000013791" 879
"11907" "Htr2b" 1449
"11908" "Rnf139" 2586
"11909" "ENSMOCG00000013794" 1926
"11910" "Drd4" 1321
"11911" "Pea15a" 2475
"11912" "A930018P22Rik" 739
"11913" "Etv5" 2098
"11914" "Zdhhc23" 2761
"11915" "ENSMOCG00000013800" 2445
"11916" "Ftcd" 1948
"11917" "Slc18a2" 4642
"11918" "Lefty1" 1377
"11919" "Slc39a12" 2935
"11920" "Ndufb11" 574
"11921" "Trmt2b" 2764
"11922" "Med12" 6606
"11923" "Mrpl48" 917
"11924" "Irak1" 3991
"11925" "Lrif1" 750
"11926" "Tubgcp5" 3653
"11927" "Pllp" 3750
"11928" "Fam183b" 608
"11929" "Cspp1" 3570
"11930" "Cd209a" 720
"11931" "Abcc8" 4737
"11932" "Gab1" 4958
"11933" "ENSMOCG00000013818" 846
"11934" "Asph" 2229
"11935" "Rnf43" 2352
"11936" "Zfp703" 3372
"11937" "Ms4a7" 777
"11938" "Hs3st3a1" 1253
"11939" "Klk14" 814
"11940" "Defb42" 228
"11941" "Wdr5" 2646
"11942" "Ptpra" 3214
"11943" "Cep85" 3536
"11944" "Gramd4" 1815
"11945" "Tex26" 909
"11946" "ENSMOCG00000013831" 793
"11947" "Trpm5" 3595
"11948" "Morc3" 2805
"11949" "Tmem165" 3669
"11950" "Cfi" 1803
"11951" "ENSMOCG00000013836" 1314
"11952" "Rab8a" 2187
"11953" "Rnf227" 576
"11954" "Krt77" 1719
"11955" "Rasa4" 2406
"11956" "Fabp5" 733
"11957" "Ccdc138" 2046
"11958" "Kcnj16" 2963
"11959" "Casp14" 741
"11960" "Htra4" 1614
"11961" "Cish" 1785
"11962" "Trappc3" 1283
"11963" "ENSMOCG00000013848" 576
"11964" "Dpm2" 845
"11965" "Mul1" 1407
"11966" "Pglyrp3" 1047
"11967" "Naa30" 4269
"11968" "Trim33" 3258
"11969" "ENSMOCG00000013854" 498
"11970" "1700067P10Rik" 567
"11971" "Nr4a3" 2820
"11972" "Gm36028" 891
"11973" "Glo1" 1109
"11974" "ENSMOCG00000013859" 561
"11975" "ENSMOCG00000013860" 531
"11976" "Flrt1" 3855
"11977" "Samd10" 1929
"11978" "Slc35f6" 1468
"11979" "Msrb1" 348
"11980" "ENSMOCG00000013865" 270
"11981" "Usp40" 5211
"11982" "Cfap70" 3426
"11983" "Tnfrsf1a" 1356
"11984" "Spon1" 2424
"11985" "Plgrkt" 877
"11986" "Zfp644" 3929
"11987" "Matn3" 1446
"11988" "Musk" 2613
"11989" "Pcsk7" 2364
"11990" "Spcs1" 857
"11991" "Zswim3" 2653
"11992" "ENSMOCG00000013877" 210
"11993" "Lmod3" 1683
"11994" "Tfb1m" 1212
"11995" "Bex3" 839
"11996" "Gpr50" 2130
"11997" "BC051019" 1233
"11998" "Col4a3" 5464
"11999" "Bean1" 1006
"12000" "Senp8" 1280
"12001" "Lhfpl3" 687
"12002" "Lig3" 534
"12003" "Depp1" 948
"12004" "Rhobtb3" 1839
"12005" "Anxa7" 1717
"12006" "Rgs17" 687
"12007" "ENSMOCG00000013892" 504
"12008" "ENSMOCG00000013893" 744
"12009" "ENSMOCG00000013894" 1305
"12010" "Srd5a1" 1017
"12011" "Fancf" 888
"12012" "Tbc1d19" 1840
"12013" "Abca6" 5821
"12014" "Ntrk3" 2661
"12015" "Mtus2" 4050
"12016" "Rab43" 3329
"12017" "Txnl4b" 2134
"12018" "Dnmt1" 4854
"12019" "Wdr25" 1660
"12020" "ENSMOCG00000013905" 1292
"12021" "ENSMOCG00000013906" 2642
"12022" "Tfe3" 3280
"12023" "Arhgef10" 5105
"12024" "Nme5" 815
"12025" "Eya2" 1347
"12026" "Gatm" 2247
"12027" "Abtb2" 3075
"12028" "ENSMOCG00000013913" 688
"12029" "ENSMOCG00000013914" 1893
"12030" "Tmem92" 462
"12031" "Ap1m1" 1972
"12032" "Adamts6" 4835
"12033" "Zfp952" 1515
"12034" "ENSMOCG00000013919" 1176
"12035" "Irf3" 1260
"12036" "Upp2" 861
"12037" "Slc6a8" 3432
"12038" "Slitrk6" 4232
"12039" "ENSMOCG00000013924" 951
"12040" "Gdf5" 1993
"12041" "Kdelr2" 1791
"12042" "Wac" 5207
"12043" "ENSMOCG00000013928" 573
"12044" "Syt8" 1260
"12045" "Mettl23" 972
"12046" "Smc5" 3465
"12047" "Aldh8a1" 2348
"12048" "5830411N06Rik" 2997
"12049" "ENSMOCG00000013934" 963
"12050" "Ets1" 2274
"12051" "Pgap1" 2802
"12052" "Dynlt3" 2081
"12053" "Cited1" 585
"12054" "Bap1" 3523
"12055" "ENSMOCG00000013940" 1910
"12056" "Rpe" 2380
"12057" "ENSMOCG00000013942" 372
"12058" "Trip10" 1733
"12059" "Hars2" 2300
"12060" "Smchd1" 7121
"12061" "Dtwd1" 1911
"12062" "Opa3" 618
"12063" "Fam20c" 3346
"12064" "Npc2" 928
"12065" "ENSMOCG00000013950" 519
"12066" "Armc7" 1642
"12067" "3110082J24Rik" 312
"12068" "Catsperz" 570
"12069" "Ubxn6" 1790
"12070" "ENSMOCG00000013955" 363
"12071" "Esrrg" 5152
"12072" "Nudt1" 801
"12073" "Ybx2" 1651
"12074" "Mrap" 985
"12075" "Plek2" 1237
"12076" "Tex13b" 564
"12077" "ENSMOCG00000013962" 6574
"12078" "Prss47" 828
"12079" "Birc3" 2467
"12080" "Slc14a2" 2800
"12081" "Creb3l3" 1455
"12082" "Atp6v1fnb" 625
"12083" "Hnrnpll" 2770
"12084" "Itga6" 5258
"12085" "Ttc36" 792
"12086" "Cbx2" 2000
"12087" "Wrn" 4509
"12088" "ENSMOCG00000013973" 510
"12089" "Hsfy2" 1176
"12090" "Marveld3" 1322
"12091" "Dnajc18" 1226
"12092" "Slc37a3" 2553
"12093" "Kmt5c" 2785
"12094" "Lrrc14" 1485
"12095" "Pik3ca" 6411
"12096" "ENSMOCG00000013981" 2517
"12097" "Cpsf6" 6447
"12098" "Uqcr10" 473
"12099" "Pgs1" 2267
"12100" "Ppp1r32" 1347
"12101" "ENSMOCG00000013986" 1274
"12102" "Stx1b" 4313
"12103" "Jup" 3231
"12104" "Myo1e" 4624
"12105" "Sec16a" 8374
"12106" "2300009A05Rik" 600
"12107" "Ptrh1" 948
"12108" "4930407I10Rik" 4437
"12109" "Ppp2r1a" 2326
"12110" "Tesc" 926
"12111" "ENSMOCG00000013996" 4070
"12112" "Trmt9b" 3415
"12113" "Kcnk16" 995
"12114" "Naa35" 2604
"12115" "Tmem196" 549
"12116" "B3galnt1" 2503
"12117" "Tnfrsf4" 1139
"12118" "Letm2" 2851
"12119" "ENSMOCG00000014004" 2727
"12120" "Spred2" 3156
"12121" "Prr29" 534
"12122" "ENSMOCG00000014007" 312
"12123" "Tprgl" 1806
"12124" "Rbpms" 1047
"12125" "Tmem200b" 780
"12126" "Taf1d" 1580
"12127" "Fgf23" 756
"12128" "Ppp4c" 1352
"12129" "ENSMOCG00000014014" 438
"12130" "Pspn" 669
"12131" "Zfx" 7093
"12132" "Ccdc124" 897
"12133" "Nup155" 4408
"12134" "Axl" 4256
"12135" "ENSMOCG00000014020" 1128
"12136" "ENSMOCG00000014021" 2212
"12137" "Zc3h14" 3359
"12138" "ENSMOCG00000014023" 768
"12139" "Aimp2" 1228
"12140" "ENSMOCG00000014025" 936
"12141" "Plxnd1" 6664
"12142" "Kcnab2" 3486
"12143" "ENSMOCG00000014028" 1588
"12144" "Enpp1" 3834
"12145" "Iqsec2" 4645
"12146" "Zfp229" 2610
"12147" "Npc1" 4612
"12148" "Aldh18a1" 3428
"12149" "Kbtbd8" 4543
"12150" "ENSMOCG00000014035" 366
"12151" "Prr9" 446
"12152" "Cyp2w1" 1508
"12153" "Kcna3" 1710
"12154" "ENSMOCG00000014039" 2482
"12155" "Safb" 2817
"12156" "Styk1" 1423
"12157" "Tada1" 2150
"12158" "1190007I07Rik" 1482
"12159" "ENSMOCG00000014044" 444
"12160" "Cldnd1" 2204
"12161" "Tmcc2" 2745
"12162" "Scn3a" 8404
"12163" "Tpd52l2" 2297
"12164" "Slc24a5" 1924
"12165" "Slc25a53" 2577
"12166" "ENSMOCG00000014051" 396
"12167" "ENSMOCG00000014052" 4197
"12168" "Nrm" 1436
"12169" "1700093K21Rik" 814
"12170" "Hemgn" 1437
"12171" "ENSMOCG00000014056" 1451
"12172" "ENSMOCG00000014057" 360
"12173" "Imp4" 2319
"12174" "Slc24a3" 1914
"12175" "Elac2" 2531
"12176" "Ccdc88a" 9170
"12177" "Ppp1r3b" 1325
"12178" "Npffr2" 1383
"12179" "Pram1" 1932
"12180" "Gucy2c" 3372
"12181" "ENSMOCG00000014066" 258
"12182" "Epb41l1" 6164
"12183" "Vsig10" 1629
"12184" "Mgat5b" 2379
"12185" "Cldn14" 1475
"12186" "ENSMOCG00000014071" 433
"12187" "Pcgf6" 2164
"12188" "Bcl7a" 3653
"12189" "ENSMOCG00000014074" 1395
"12190" "Mrm2" 944
"12191" "Xkr4" 1695
"12192" "Sema4f" 4003
"12193" "Hsd17b3" 921
"12194" "Gstm1" 1302
"12195" "Spryd7" 1561
"12196" "Csf3" 693
"12197" "Rpusd1" 1676
"12198" "Grk4" 1728
"12199" "Glb1l" 2420
"12200" "P3h3" 2635
"12201" "Hoxd1" 984
"12202" "Gbgt1" 1041
"12203" "Atp6v1e1" 1281
"12204" "Ppp5c" 2065
"12205" "Rasd2" 3048
"12206" "Pla2g2a" 655
"12207" "ENSMOCG00000014092" 225
"12208" "Dync1h1" 14387
"12209" "Tyr" 1761
"12210" "ENSMOCG00000014095" 450
"12211" "Tmem269" 1107
"12212" "Xpot" 2892
"12213" "ENSMOCG00000014098" 1098
"12214" "Slc31a1" 1466
"12215" "Prr18" 921
"12216" "Poldip3" 3219
"12217" "Cd244a" 1137
"12218" "Slc35f3" 2843
"12219" "Gpr158" 3621
"12220" "ENSMOCG00000014105" 747
"12221" "Arhgap40" 2022
"12222" "Lurap1" 1433
"12223" "Pdcl2" 1179
"12224" "Cmtr1" 2442
"12225" "Cdkl5" 2941
"12226" "ENSMOCG00000014111" 1694
"12227" "Rtn4rl2" 1951
"12228" "Ube2o" 3843
"12229" "ENSMOCG00000014114" 750
"12230" "Cnih1" 3160
"12231" "Sfrp1" 1392
"12232" "Ddc" 1956
"12233" "Ccnjl" 1821
"12234" "Fry" 8679
"12235" "Map2k3" 2185
"12236" "Supt16" 4491
"12237" "Olfml2b" 3108
"12238" "Prob1" 3033
"12239" "Elfn2" 11603
"12240" "Glra4" 1838
"12241" "ENSMOCG00000014126" 213
"12242" "Ajuba" 3115
"12243" "Ywhae" 2083
"12244" "Nlrc5" 5508
"12245" "Izumo2" 582
"12246" "Macrod2" 1233
"12247" "Gbe1" 2100
"12248" "Syt9" 3884
"12249" "Ribc1" 1305
"12250" "Ptpn12" 2295
"12251" "ENSMOCG00000014136" 2045
"12252" "Ankrd54" 1898
"12253" "Szrd1" 932
"12254" "Ralb" 1027
"12255" "Rab2a" 639
"12256" "ENSMOCG00000014141" 693
"12257" "Snrnp25" 772
"12258" "ENSMOCG00000014143" 2427
"12259" "Ap1s2" 886
"12260" "Cyb5r4" 2196
"12261" "Tagln2" 1329
"12262" "ENSMOCG00000014147" 2695
"12263" "Actl6a" 1969
"12264" "Dusp9" 1176
"12265" "ENSMOCG00000014150" 1803
"12266" "ENSMOCG00000014151" 512
"12267" "Car14" 1552
"12268" "Mmd2" 2184
"12269" "ENSMOCG00000014154" 1383
"12270" "ENSMOCG00000014155" 1215
"12271" "Sav1" 2371
"12272" "Klre1" 681
"12273" "ENSMOCG00000014158" 864
"12274" "Mdfic" 3129
"12275" "ENSMOCG00000014160" 2413
"12276" "Tstd2" 3601
"12277" "Usp39" 2178
"12278" "Utp6" 2137
"12279" "Nrap" 5543
"12280" "Cdc73" 2803
"12281" "ENSMOCG00000014166" 3245
"12282" "Spata16" 1903
"12283" "Rpn2" 1890
"12284" "ENSMOCG00000014169" 282
"12285" "Ddx3x" 4652
"12286" "Igtp" 1964
"12287" "Fam169a" 5189
"12288" "Pepd" 1512
"12289" "ENSMOCG00000014174" 6227
"12290" "ENSMOCG00000014175" 607
"12291" "Enkd1" 1258
"12292" "Slamf9" 885
"12293" "Ing5" 823
"12294" "Nbeal2" 8184
"12295" "Tmem144" 2583
"12296" "Sharpin" 1137
"12297" "Clk2" 1841
"12298" "Prr3" 1706
"12299" "Nubpl" 1187
"12300" "ENSMOCG00000014185" 408
"12301" "ENSMOCG00000014186" 201
"12302" "ENSMOCG00000014187" 129
"12303" "Acot13" 714
"12304" "Ldb3" 1635
"12305" "ENSMOCG00000014190" 1596
"12306" "Otx1" 2748
"12307" "Snrpa" 1269
"12308" "Polh" 3301
"12309" "ENSMOCG00000014194" 870
"12310" "Shroom4" 4386
"12311" "Stx12" 2380
"12312" "Sparc" 2103
"12313" "ENSMOCG00000014198" 651
"12314" "Rad52" 1251
"12315" "ENSMOCG00000014200" 987
"12316" "Rrh" 1191
"12317" "Nt5c1a" 1200
"12318" "Zmat5" 1979
"12319" "Eif3f" 2407
"12320" "Fbxl2" 2138
"12321" "ENSMOCG00000014206" 444
"12322" "Selenot" 570
"12323" "Srr" 957
"12324" "Slco1c1" 2818
"12325" "Thpo" 1391
"12326" "Ephb1" 2955
"12327" "Arc" 2991
"12328" "Chpt1" 2671
"12329" "Gpr39" 1350
"12330" "ENSMOCG00000014215" 4611
"12331" "ENSMOCG00000014216" 420
"12332" "Ryr3" 14598
"12333" "Rnf11" 2310
"12334" "Pts" 846
"12335" "Ghrl" 237
"12336" "Cbr3" 1107
"12337" "Zfp74" 2055
"12338" "Cept1" 2223
"12339" "Manbal" 1042
"12340" "ENSMOCG00000014225" 1576
"12341" "Dusp7" 2863
"12342" "Cdkn3" 839
"12343" "Defb19" 249
"12344" "Evpl" 6087
"12345" "Cep128" 2997
"12346" "ENSMOCG00000014231" 1506
"12347" "Nrsn1" 2124
"12348" "Nat2" 1620
"12349" "Cck" 673
"12350" "Tradd" 1411
"12351" "ENSMOCG00000014236" 750
"12352" "Lrrc38" 2135
"12353" "Snupn" 1350
"12354" "ENSMOCG00000014239" 3201
"12355" "Skiv2l" 3687
"12356" "Fut1" 1344
"12357" "Ckb" 1466
"12358" "ENSMOCG00000014243" 1359
"12359" "Tial1" 1897
"12360" "Defb41" 198
"12361" "Doc2a" 2053
"12362" "ENSMOCG00000014247" 966
"12363" "Zfp488" 2413
"12364" "Dock8" 6294
"12365" "Lgr5" 2980
"12366" "4930578I06Rik" 1029
"12367" "ENSMOCG00000014252" 1784
"12368" "C1ql1" 1506
"12369" "Unc5d" 2871
"12370" "Stac3" 1095
"12371" "AB124611" 1013
"12372" "Fam120b" 2379
"12373" "Hook2" 2508
"12374" "Syvn1" 3439
"12375" "Tcf3" 2860
"12376" "ENSMOCG00000014261" 405
"12377" "ENSMOCG00000014262" 627
"12378" "Kdm5b" 4635
"12379" "Nrg1" 2947
"12380" "Olfr518" 942
"12381" "Klhl2" 2977
"12382" "Slc44a2" 3037
"12383" "Naaa" 1906
"12384" "Lsm3" 731
"12385" "Tsc2" 5659
"12386" "Ttll3" 2766
"12387" "BC016579" 851
"12388" "ENSMOCG00000014273" 435
"12389" "Atp11a" 7178
"12390" "Pld2" 3680
"12391" "Gpr3" 2036
"12392" "Fam25c" 352
"12393" "Cul1" 3456
"12394" "Ttc24" 870
"12395" "Spata7" 1761
"12396" "Klhl30" 1814
"12397" "Lamb1" 5843
"12398" "Insr" 5363
"12399" "ENSMOCG00000014284" 8360
"12400" "ENSMOCG00000014285" 279
"12401" "Abhd10" 1287
"12402" "Pnldc1" 1602
"12403" "Armc6" 2025
"12404" "Pbxip1" 2169
"12405" "Cd48" 714
"12406" "Trub2" 1643
"12407" "Cdk17" 3717
"12408" "Vinac1" 4245
"12409" "ENSMOCG00000014294" 519
"12410" "Gm17455" 3107
"12411" "Xaf1" 1487
"12412" "Laptm5" 2079
"12413" "Trpv4" 3202
"12414" "Cdsn" 1590
"12415" "ENSMOCG00000014300" 3301
"12416" "Fbxo9" 1311
"12417" "Mybl2" 2118
"12418" "Exoc7" 1761
"12419" "Pou4f3" 1189
"12420" "Atl3" 1611
"12421" "Rex1bd" 677
"12422" "Polr3k" 636
"12423" "Sspn" 811
"12424" "Snrpg" 494
"12425" "Tdrd7" 3360
"12426" "BC003965" 990
"12427" "Tmem170b" 473
"12428" "Hapln2" 1586
"12429" "Zscan2" 2122
"12430" "Parp1" 3411
"12431" "Alpk2" 6336
"12432" "Fdx2" 774
"12433" "ENSMOCG00000014318" 981
"12434" "Glra2" 2861
"12435" "Hcrtr2" 1684
"12436" "Nefh" 2646
"12437" "ENSMOCG00000014322" 3852
"12438" "Mlycd" 3706
"12439" "Zc3hav1l" 1494
"12440" "ENSMOCG00000014325" 2316
"12441" "Naa40" 714
"12442" "Soga3" 3314
"12443" "Cdh22" 3083
"12444" "Nxn" 1308
